engine,rows,metric,unit,round_1,round_2,round_3,median,min,max
gbaselite,1000,rss_mib,MiB,27.7578125,26.87890625,26.78515625,26.87890625,26.78515625,27.7578125
gbaselite,1000,private_mib,MiB,53.125,52.82421875,52.29296875,52.82421875,52.29296875,53.125
gbaselite,1000,empty_mib,MiB,0.031597137451171875,0.03159809112548828,0.03159809112548828,0.03159809112548828,0.031597137451171875,0.03159809112548828
gbaselite,1000,insert_disk_mib,MiB,1.0003471374511719,1.0003480911254883,1.0003480911254883,1.0003480911254883,1.0003471374511719,1.0003480911254883
gbaselite,1000,update_disk_mib,MiB,2.000347137451172,2.0003480911254883,2.0003480911254883,2.0003480911254883,2.000347137451172,2.0003480911254883
gbaselite,1000,growth_mib,MiB,1.96875,1.96875,1.96875,1.96875,1.96875,1.96875
mysql,1000,insert_s,秒,0.033262799959629774,0.034656399860978127,0.03718059975653887,0.034656399860978127,0.033262799959629774,0.03718059975653887
mysql,1000,insert_rows_s,行/秒,30063.614644999067,28854.699392072875,26895.746882731022,28854.699392072875,26895.746882731022,30063.614644999067
mysql,1000,update_s,秒,0.008351000025868416,0.0079369000159204,0.008603500202298164,0.008351000025868416,0.0079369000159204,0.008603500202298164
mysql,1000,point_p50_ms,毫秒,0.1371998805552721,0.13135001063346863,0.1395998988300562,0.1371998805552721,0.13135001063346863,0.1395998988300562
mysql,1000,point_p95_ms,毫秒,0.2413000911474228,0.2351999282836914,0.2927999012172222,0.2413000911474228,0.2351999282836914,0.2927999012172222
mysql,1000,point_p99_ms,毫秒,0.27169985696673393,0.35770004615187645,0.38579991087317467,0.35770004615187645,0.27169985696673393,0.38579991087317467
mysql,1000,range_ms,毫秒,0.8815997280180454,0.6018998101353645,0.6828997284173965,0.6828997284173965,0.6018998101353645,0.8815997280180454
mysql,1000,aggregate_ms,毫秒,0.3360002301633358,0.26929983869194984,0.37010014057159424,0.3360002301633358,0.26929983869194984,0.37010014057159424
mysql,1000,insert_cpu_s,CPU秒,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625
mysql,1000,update_cpu_s,CPU秒,0.0,0.0,0.0,0.0,0.0,0.0
mysql,1000,cpu_s,CPU秒,0.046875,0.0625,0.03125,0.046875,0.03125,0.0625
mysql,1000,cpu_core_pct,%,30.765666377688945,42.215439211130494,19.48785299325189,30.765666377688945,19.48785299325189,42.215439211130494
mysql,1000,rss_mib,MiB,226.171875,225.6484375,226.359375,226.171875,225.6484375,226.359375
mysql,1000,private_mib,MiB,309.6640625,309.71875,310.1015625,309.71875,309.6640625,310.1015625
mysql,1000,empty_mib,MiB,191.72190380096436,191.72190284729004,191.7219066619873,191.72190380096436,191.72190284729004,191.7219066619873
mysql,1000,insert_disk_mib,MiB,192.00315380096436,192.00315284729004,192.0031566619873,192.00315380096436,192.00315284729004,192.0031566619873
mysql,1000,update_disk_mib,MiB,192.00315380096436,192.00315284729004,192.0031566619873,192.00315380096436,192.00315284729004,192.0031566619873
mysql,1000,growth_mib,MiB,0.28125,0.28125,0.28125,0.28125,0.28125,0.28125
postgresql,1000,insert_s,秒,0.008833699859678745,0.008510000072419643,0.008357000071555376,0.008510000072419643,0.008357000071555376,0.008833699859678745
postgresql,1000,insert_rows_s,行/秒,113202.84998186104,117508.81216099339,119660.1641064583,117508.81216099339,113202.84998186104,119660.1641064583
postgresql,1000,update_s,秒,0.004582900088280439,0.004630099982023239,0.004577500279992819,0.004582900088280439,0.004577500279992819,0.004630099982023239
postgresql,1000,point_p50_ms,毫秒,0.0896998681128025,0.0865499023348093,0.10569998994469643,0.0896998681128025,0.0865499023348093,0.10569998994469643
postgresql,1000,point_p95_ms,毫秒,0.1626000739634037,0.16619963571429253,0.20779995247721672,0.16619963571429253,0.1626000739634037,0.20779995247721672
postgresql,1000,point_p99_ms,毫秒,0.20139990374445915,0.2154996618628502,0.24429988116025925,0.2154996618628502,0.20139990374445915,0.24429988116025925
postgresql,1000,range_ms,毫秒,0.2856999635696411,0.22409996017813683,0.3245999105274677,0.2856999635696411,0.22409996017813683,0.3245999105274677
postgresql,1000,aggregate_ms,毫秒,0.16659963876008987,0.16580009832978249,0.17299968749284744,0.16659963876008987,0.16580009832978249,0.17299968749284744
postgresql,1000,insert_cpu_s,CPU秒,0.0,0.015625,0.0,0.0,0.0,0.015625
postgresql,1000,update_cpu_s,CPU秒,0.0,0.015625,0.0,0.0,0.0,0.015625
postgresql,1000,cpu_s,CPU秒,0.0,0.0625,0.03125,0.03125,0.0,0.0625
postgresql,1000,cpu_core_pct,%,0.0,64.64906408515596,27.45153158004675,27.45153158004675,0.0,64.64906408515596
postgresql,1000,rss_mib,MiB,110.5390625,110.58203125,110.4765625,110.5390625,110.4765625,110.58203125
postgresql,1000,private_mib,MiB,25.86328125,25.875,25.8671875,25.8671875,25.86328125,25.875
postgresql,1000,empty_mib,MiB,39.30287456512451,39.30287456512451,39.30287456512451,39.30287456512451,39.30287456512451,39.30287456512451
postgresql,1000,insert_disk_mib,MiB,39.54506206512451,39.54506206512451,39.54506206512451,39.54506206512451,39.54506206512451,39.54506206512451
postgresql,1000,update_disk_mib,MiB,39.73256206512451,39.73256206512451,39.73256206512451,39.73256206512451,39.73256206512451,39.73256206512451
postgresql,1000,growth_mib,MiB,0.4296875,0.4296875,0.4296875,0.4296875,0.4296875,0.4296875
sqlite,1000,insert_s,秒,0.0035887002013623714,0.0038002999499440193,0.003770800307393074,0.003770800307393074,0.0035887002013623714,0.0038002999499440193
sqlite,1000,insert_rows_s,行/秒,278652.4211803404,263137.12421955814,265195.6928186806,265195.6928186806,263137.12421955814,278652.4211803404
sqlite,1000,update_s,秒,0.0015059998258948326,0.0014043999835848808,0.0014092996716499329,0.0014092996716499329,0.0014043999835848808,0.0015059998258948326
sqlite,1000,point_p50_ms,毫秒,0.0057998113334178925,0.005600042641162872,0.005499925464391708,0.005600042641162872,0.005499925464391708,0.0057998113334178925
sqlite,1000,point_p95_ms,毫秒,0.019199680536985397,0.013600103557109833,0.009399838745594025,0.013600103557109833,0.009399838745594025,0.019199680536985397
sqlite,1000,point_p99_ms,毫秒,0.0554998405277729,0.0391998328268528,0.020700041204690933,0.0391998328268528,0.020700041204690933,0.0554998405277729
sqlite,1000,range_ms,毫秒,0.04970002919435501,0.044100452214479446,0.04350021481513977,0.044100452214479446,0.04350021481513977,0.04970002919435501
sqlite,1000,aggregate_ms,毫秒,0.0320998951792717,0.032300129532814026,0.03170035779476166,0.0320998951792717,0.03170035779476166,0.032300129532814026
sqlite,1000,insert_cpu_s,CPU秒,0.015625,0.015625,0.0,0.015625,0.0,0.015625
sqlite,1000,update_cpu_s,CPU秒,0.015625,0.0,0.015625,0.015625,0.0,0.015625
sqlite,1000,cpu_s,CPU秒,0.046875,0.046875,0.046875,0.046875,0.046875,0.046875
sqlite,1000,cpu_core_pct,%,88.78866684442048,89.96067615683488,92.21607822716116,89.96067615683488,88.78866684442048,92.21607822716116
